Designator,Mid X,Mid Y,Rotation,Layer
C1,63.09,-24.48,0.0,top
C10,132.99,-48.36,270.0,top
C11,117.13,-19.72,180.0,top
C12,145.3,-39.71,0.0,top
C13,135.29,-23.06,90.0,top
C14,145.3,-43.31,0.0,top
C15,141.5,-30.75,180.0,top
C16,157.64,-30.36,90.0,top
C2,149.14,-21.33,180.0,top
C3,133.22,-41.45,90.0,top
C4,113.09,-41.09,270.0,top
C5,107.75,-31.75,180.0,top
C6,113.18,-46.61,270.0,top
C7,139.0,-39.83,90.0,top
C8,111.0,-27.0,180.0,top
C9,119.75,-48.3675,90.0,top
D1,50.85,-42.0,0.0,top
D10,95.9,-79.5,0.0,top
D11,35.85,-79.5,0.0,top
D12,80.85,-79.6,0.0,top
D13,110.85,-79.5,0.0,top
D14,80.9,-60.7,0.0,top
D15,41.5075,-19.13,0.0,top
D16,93.0475,-19.15,0.0,top
D17,67.17,-19.15,0.0,top
D18,104.05,-61.7,0.0,top
D19,110.5,-19.25,0.0,top
D2,65.9,-42.0,0.0,top
D20,50.75,-74.75,0.0,top
D21,97.3175,-74.74,0.0,top
D22,117.45,-53.44,0.0,top
D23,134.84,-74.5,0.0,top
D24,104.7,-42.2,0.0,top
D3,35.8,-42.0,0.0,top
D4,49.85,-67.4,0.0,top
D5,65.85,-60.75,0.0,top
D6,65.85,-79.55,0.0,top
D7,35.9,-60.75,0.0,top
D8,149.15,-50.0875,90.0,top
D9,50.85,-79.5,0.0,top
J1,35.525,-27.7,180.0,top
J2,93.525,-27.7,180.0,top
J3,132.38,-92.72,270.0,bottom
J4,159.81,-69.97,90.0,bottom
JP1,144.25,-69.775,0.0,bottom
P1,160.12,-53.77,180.0,bottom
R1,71.25,-24.5,90.0,top
R10,70.75,-79.54,0.0,top
R11,46.82,-29.0,0.0,top
R12,46.87,-26.7,180.0,top
R13,46.77,-31.4,180.0,top
R14,46.87,-33.8,0.0,top
R15,63.14,-28.23,0.0,top
R16,63.16,-31.93,180.0,top
R17,46.82,-24.25,0.0,top
R18,49.91,-64.0,0.0,top
R19,32.02,-60.59,270.0,top
R2,31.12,-41.9,270.0,top
R20,61.97,-60.7,270.0,top
R21,62.0,-79.46,270.0,top
R22,139.06,-45.21,90.0,top
R23,40.75,-79.5,0.0,top
R24,55.75,-79.5,0.0,top
R25,100.8,-79.5,0.0,top
R26,85.8,-60.65,0.0,top
R27,85.75,-79.51,0.0,top
R28,115.75,-79.51,0.0,top
R29,32.0,-79.43,270.0,top
R3,47.0,-41.9,270.0,top
R30,47.0,-79.46,270.0,top
R31,92.0,-79.45,270.0,top
R32,77.0,-60.7,270.0,top
R33,77.0,-79.46,270.0,top
R34,107.05,-79.45,270.0,top
R35,36.35,-19.1,0.0,top
R36,87.25,-19.1,0.0,top
R37,62.0,-19.15,0.0,top
R38,99.0,-61.65,0.0,top
R39,105.4625,-19.23,0.0,top
R4,62.02,-41.93,270.0,top
R40,45.68,-74.74,0.0,top
R41,92.25,-74.7,0.0,top
R42,112.4,-53.4,0.0,top
R43,131.65,-77.35,0.0,top
R44,99.55,-42.15,0.0,top
R45,149.12,-55.4,90.0,top
R46,143.75,-24.5,270.0,top
R47,140.75,-24.5,270.0,top
R48,148.01,-60.65,0.0,top
R5,41.01,-42.03,0.0,top
R6,55.73,-42.01,0.0,top
R7,70.78,-41.97,0.0,top
R8,40.79,-60.75,0.0,top
R9,70.82,-60.75,0.0,top
SW1,35.75,-50.25,0.0,top
SW10,50.75,-87.75,0.0,top
SW11,95.75,-87.75,0.0,top
SW12,80.75,-69.0,0.0,top
SW13,80.75,-87.75,0.0,top
SW14,110.75,-87.75,0.0,top
SW2,50.75,-50.25,0.0,top
SW3,65.75,-50.25,0.0,top
SW4,79.7875,-27.6,0.0,top
SW6,35.75,-69.0,0.0,top
SW7,65.75,-69.0,0.0,top
SW8,65.75,-87.75,0.0,top
SW9,35.75,-87.75,0.0,top
U1,125.97,-63.05,0.0,top
U2,124.15,-32.4,45.0,top
U3,55.13,-28.78,0.0,top
U4,139.77,-55.34,180.0,top
U5,150.62,-31.36,270.0,top
U6,151.25,-83.5,180.0,top
XT12MHZ1,153.18,-41.15,0.0,top
XT16MHZ1,126.14,-48.29,180.0,top
